silence;silence silencing silences silenced
milk;milked milk milking milks
today;today todays
lunatic;lunatics lunatic
band;bands band banded banding
wait;waits waiting waited wait
cinnamon;cinnamon
environment;environment environments
continue;continuing continue continued continues
sky;skied sky skying skies
birth;birth birthed birthing births
sit;sit sitting sits siting
smart;smarts smarter smartest smarting smarted smart
dude;dude dudes
racist;racists racist
molest;molesting molested molest
look;look looking looks looked
fighting;fighting
finger;fingered fingers finger fingering
founder;founders foundering foundered founder
FALSE;FALSE
chair;chair chairing chairs chaired
architectural;architectural
son;sons sonning son
called;called
closer;closer
knee;kneeing knees knee
bathing;bathing
kind;kindest kinds kinder kind
allowed;allowed
smoking;smoking
homosexual;homosexuals homosexual
golf;golfs golf
architecture;architectures architecture
mount;mounts mount mounting mounted
word;wording words worded word
lamp;lamps lamp
lovely;loveliest lovelies lovelier lovely
chemistry;chemistry
verb;verb verbs
nickel;nickel nickels
style;style styles styled styling
home;home homes homed homing
billion;billion billions
gin;gins gin
center;center centered centering centers
randomly;randomly
interactive;interactive
necrophilia;necrophilia
aka;aka
clothe;clothed clothes clothe
string;string stringing strings strung
lasagna;lasagna
yell;yells yell yelling yelled
beat;beats beat beaten beating
fair;fairs fairing faired fairer fairest fair
stand;stood stand stands standing
trilogy;trilogy
beg;beg begged begging begs
orchestra;orchestras orchestra
stupid;stupid
online;online
giggle;giggle giggling giggled giggles
dying;dying
floor;floors floor flooring floored
mother;mothered mothers mother mothering
magic;magic magics
uneducated;uneducated
poetic;poetic
scotch;scotches scotch scotching scotched
mate;mated mates mating mate
detect;detect detecting detected detects
thousand;thousand thousands
devil;devilled devils devilling devil
sweetie;sweetie
tomato;tomato tomatoes
botanical;botanical
stuff;stuff stuffed stuffing stuffs
theater;theater
camp;camper camp camping camps camped
immigrant;immigrants immigrant
report;reported reports report reporting
liar;liars liar
auto;autos auto
cloak;cloaks cloaked cloaking cloak
free;free freeing freed freer frees freest
tully;tully
winner;winners winner
lot;lots lot
animal;animals animal
cancer;cancer cancers
computer;computer computers
key;keys keyed keying key
steal;steal steals stealing stolen stole
pussy;pussies pussy
hotel;hotel hotels
choice;choice choices
cry;cries crying cried cry
dealer;dealers dealer
scare;scares scared scaring scare
ser;ser
hair;hairs hair
bone;bones bone
gorgeous;gorgeous
monster;monster monsters
terrorist;terrorists terrorist
mailing;mailing mailings
eye;eyeing eyed eyes eye
accept;accepted accept accepting accepts
cake;cake caked cakes caking
turnoff;turnoff
fetch;fetch fetching fetches fetched
men;men
hurt;hurt hurting hurts
break;broken break breaks breaking broke
crime;crime crimes
begin;beginning begun begins began begin
wrong;wronging wrong wrongs
buck;bucked bucks buck bucking
purse;purse pursing pursed purses
forex;forex
spent;spent
cold;colder cold coldest colds
mummy;mummy mummies
charged;charged
